abbAs 
abou-ali
Abtin
Adel 
afshAr
afshin
ahmad 
akbar 
ali 
ali-dAd
amin 
amir
amjad 
anoush
anoushiravAn
ArAd
ArAm
Arash
ardalAn
ardavAn
ardeshir
Aref 
ArmAn
Armeen
arsalAn
arshiA
AryA
arzhang
asad 
asghar 
ashkAn
Atash
Aurang/Orang
AzAd
BAbak
Bahman
BahrAm
BAmdAd
BAmeen
BamshAd
BardiA
BehnAm
BehrAd
Behrang
Behrouz
BehzAd
Bizhan/Bijan
BornA
Borzoo
Bozorgmehr
Changeez
Cirrus/Cyrus
DAdbeh
Danush
DArA
DArAb
DAriush/Daryush
DAvood
Ebi 
EbrAhim 
EhsAn 
EmAd 
Esfandyar/Esfandiar
EsmAeel 
FarAmarz
FarAz
Farbod
FardAd
Fardin
FarhAd
Farhang
Fariborz
Farid
FarjAd
Farrokh
FarrokhzAd
FarshAd
Farshid/Farsheed
FarzAd
FarzAm
FarzAn
Farzin/Farzeen
Ferdows
Fereydoon
Firouz
Foroohar
Foroud/Forood
Giv
GhobAd
GoshtAsb
Goudarz
Habib 
HAdi 
HAfez
HAmed 
HAmi
Hamid 
Hassan 
HedAyat
HeerAd/HirAd
HesAm 
Heydar 
HomAyoon
Hooman
HoomAn/HumAn
Hooshang
Hooshmand
HooshyAr
Hootan
Hormoz
Hossein 
Iraj
ImAn
JahAndAr
JahAngir
JahAnshah
Jafar 
JalAl 
Jalil 
Jamshid
JavAd 
JAveed
KAmbiz
KAmrAn
KAmshAd
KAmyAr
KamAl
Karim 
KasrA
KAveh
KAvoos
Key-ghobAd
Key-khosrow
KeyvAn/KayvAn
KhashAyAr
KhodA-dAd
Khosrow
KiA
KiAn/KiyAn

KiAnoosh
KiArash
Kiumars/Keyumars
KoohyAr
KooshA
Kourosh
Kouros
MAkAn
Mahbod
Mahmood/Mahmoud 
MahyAr
Majid 
MAnee/MAni
Manouchehr
Mansoor 
Massoud 
MAziAr
Mehdi/Mahdi 
MehrAb
Mehrak
MehrAn
Mehrang
MehrdAd
MehrzAd
MilAd
Mohammad 
Mohsen 
MojtabA/MujtabA 
MorAd
MortezA 
MustafA 
NAder 
NAmdAr
NAmvar
NarimAn
NAser 
Navid
NimA
NiyooshA
Nouri
NoushzAd
Omid/Omeed
ParhAm
PArsA
Parviz
PAshA
PayAm
PezhmAn/PejmAn
PuzhmAn/PujmAn
PeymAn
Pirooz/Piruz
PouriyA
PouyA
Rahim 
RakhshAn
RAmbod
RAmin
RAmtin
Rashid/Rasheed 
RezA 
Roozbeh
Rostam
SAdegh 
SadrA/Sadri
Saeed
SAlAr
sAm
SalmAn 
SAmAn
SAmi
Sanjar
SAsAn
SattAr 
Sepehr
ShahAb
